source_name,source_type,trust_level,url
MSD Manual,web_article,high,https://www.msdmanuals.com/vi
MSD Manual,web_article,high,https://www.msdmanuals.com/vi/professional/r%E1%BB%91i-lo%E1%BA%A1n-v%E1%BB%81-tai-m%C5%A9i-h%E1%BB%8Dng/b%E1%BB%87nh-%E1%BB%9F-mi%E1%BB%87ng-v%C3%A0-h%E1%BB%8Dng/vi%C3%AAm-amidan-h%E1%BB%8Dng
MSD Manual,web_article,high,https://www.msdmanuals.com/vi/professional/r%E1%BB%91i-lo%E1%BA%A1n-v%E1%BB%81-tai-m%C5%A9i-h%E1%BB%8Dng/ph%C6%B0%C6%A1ng-ph%C3%A1p-ti%E1%BA%BFp-c%E1%BA%ADn-v%E1%BB%9Bi-b%E1%BB%87nh-nh%C3%A2n-v%E1%BB%9Bi-tri%E1%BB%87u-ch%E1%BB%A9ng-m%C5%A9i-h%E1%BB%8Dng/%C4%91au-h%E1%BB%8Dng
MSD Manual,web_article,high,https://www.msdmanuals.com/vi/professional/r%E1%BB%91i-lo%E1%BA%A1n-v%E1%BB%81-tai-m%C5%A9i-h%E1%BB%8Dng/b%E1%BB%87nh-%E1%BB%9F-mi%E1%BB%87ng-v%C3%A0-h%E1%BB%8Dng/%C3%A1p-xe-quanh-amidan-v%C3%A0-vi%C3%AAm-m%C3%B4-t%E1%BA%BF-b%C3%A0o
Vinmec,web_article,medium,https://www.vinmec.com/vie/bai-viet/viem-amidan-de-tai-phat-luc-giao-mua-thay-doi-thoi-tiet-vi
Vinmec,web_article,medium,https://www.vinmec.com/vie/bai-viet/viem-amidan-co-mu-kem-sot-tai-phat-nhieu-lan-phai-lam-sao-vi
Vinmec,web_article,medium,https://www.vinmec.com/vie/bai-viet/sung-amidan-hoc-mu-tai-phat-nhieu-lan-phai-lam-sao-vi
Vinmec,web_article,medium,https://www.vinmec.com/vie/bai-viet/tre-bi-viem-amidan-hoc-mu-tai-phat-nhieu-lan-phai-lam-sao-vi
Vinmec,web_article,medium,https://www.vinmec.com/vie/bai-viet/10-can-benh-nguy-hiem-nhat-trong-xa-hoi-hien-nay-vi
Medlatec,web_article,medium,https://medlatec.vn/tin-tuc/infographic-kien-thuc-nhat-dinh-phai-biet-ve-nhung-benh-ly-ho-hap-thuong-gap-mua-nom-am
Medlatec,web_article,medium,https://medlatec.vn/tin-tuc/cac-benh-thuong-gap-khi-nom-am-va-cach-phong-ngua
Medlatec,web_article,medium,https://medlatec.vn/tin-tuc/vi-sao-benh-ho-hap-de-mac-phai-khi-giao-mua-va-huong-dan-cach-phong-ngua
Medlatec,web_article,medium,https://medlatec.vn/tin-tuc/cach-phong-benh-viem-mui-di-ung-thoi-tiet-khi-troi-nom-am
MSD Manual,web_article,high,https://www.msdmanuals.com/vi/home/ung-th%C6%B0/t%E1%BB%95ng-quan-v%E1%BB%81-ung-th%C6%B0/t%E1%BB%95ng-quan-v%E1%BB%81-ung-th%C6%B0
MSD Manual,web_article,high,https://www.msdmanuals.com/vi/home/ung-th%C6%B0/ph%C3%B2ng-ng%E1%BB%ABa-v%C3%A0-%C4%91i%E1%BB%81u-tr%E1%BB%8B-ung-th%C6%B0/%C4%91i%E1%BB%81u-tr%E1%BB%8B-ung-th%C6%B0
Vinmec,web_article,medium,https://www.vinmec.com/vie/bai-viet/ung-thu-la-gi-nguyen-nhan-trieu-chung-chan-doan-va-dieu-tri-vi
Medlatec,web_article,medium,https://medlatec.vn/tin-tuc/ung-thu-la-gi-nguyen-nhan-dau-hieu-va-cach-phong-ngua
